Cust_Id,Calendar_Dt,Amt_LE
26592,11/2/2019,1.66
26592,11/3/2019,14.81
26592,11/4/2019,0.1
26592,11/5/2019,64.7
26592,11/6/2019,217.15
26592,11/7/2019,1.66
26592,11/8/2019,136.63
26592,11/9/2019,5.99
26592,11/10/2019,0.39
26592,11/11/2019,86.05
26592,11/12/2019,570.43
26592,11/13/2019,14.31
26592,11/14/2019,24.38
26592,11/15/2019,20.45
26592,11/16/2019,0.79
26592,11/17/2019,54.58
26592,11/18/2019,51.17
26592,11/19/2019,20.29
26592,11/20/2019,226.09
26592,11/21/2019,0.1
26592,11/22/2019,131.39
26592,11/23/2019,0.79
26592,11/24/2019,93.81
26592,11/27/2019,0.1
26592,11/28/2019,34.96
26592,11/29/2019,96.62
26592,11/30/2019,207.93
26592,12/1/2019,150.58
26592,12/2/2019,3.42
26592,12/3/2019,88.79
26592,12/4/2019,118.12
26592,12/5/2019,981.55
26592,12/6/2019,181.47
26592,12/7/2019,65.17
26592,12/8/2019,79.45
26592,12/9/2019,46.73
26592,12/10/2019,218.98
26592,12/11/2019,132.82
26592,12/12/2019,2.16
26592,12/13/2019,0.1
26592,12/14/2019,170.94
26592,12/15/2019,836.4
26592,12/16/2019,35.16
26592,12/17/2019,236.32
26592,12/18/2019,7.49
26592,12/19/2019,325.76
26592,12/20/2019,661.06
26592,12/21/2019,355.65
26592,12/22/2019,334.47
26592,12/23/2019,803.41
26592,12/24/2019,1180.37
26592,12/25/2019,2.35
26592,12/26/2019,0.2
26592,12/27/2019,15.84
26592,12/28/2019,70.48
26592,12/29/2019,52.61
26592,12/30/2019,1.37
26592,12/31/2019,0
45234,11/1/2019,0.59
45234,11/2/2019,0.11
45234,11/3/2019,0.17
45234,11/4/2019,11.38
45234,11/5/2019,0.16
45234,11/6/2019,0.4
45234,11/7/2019,0.22
45234,11/8/2019,0.31
45234,11/9/2019,49.72
45234,11/24/2019,0.16
45234,11/25/2019,163.69
45234,12/10/2019,0.1
45234,12/11/2019,0.34
45234,12/12/2019,0.32
45234,12/19/2019,0.07
45234,12/20/2019,0.02
45234,12/30/2019,47.82
54815,11/10/2019,0.1
54815,11/11/2019,0.32
54815,11/15/2019,0.1
54815,11/17/2019,0.19
54815,11/18/2019,0.1
54815,12/3/2019,0.32
54815,12/13/2019,0.32
54815,12/14/2019,0
54815,12/15/2019,0
54815,12/20/2019,0.32
54815,12/28/2019,0.64
60045,11/1/2019,19.38
60045,11/2/2019,8.37
60045,11/3/2019,37.11
60045,11/4/2019,6.96
60045,11/5/2019,17.24
60045,11/6/2019,67.66
60045,11/7/2019,22.05
60045,11/8/2019,14.01
60045,11/9/2019,92.23
60045,11/10/2019,70.18
60045,11/11/2019,26.63
60045,11/12/2019,11.57
60045,11/13/2019,73.68
60045,11/15/2019,87.75
60045,11/17/2019,22.52
60045,11/18/2019,14.41
60045,11/19/2019,1.28
60045,11/20/2019,1.96
60045,11/21/2019,122.09
60045,11/22/2019,56.07
60045,11/23/2019,23.76
60045,11/24/2019,23.59
60045,11/25/2019,53.89
60045,11/26/2019,22.49
60045,11/27/2019,162.43
60045,11/28/2019,701.25
60045,11/29/2019,124.25
60045,12/1/2019,23.95
60045,12/2/2019,0.39
60045,12/3/2019,18.41
60045,12/4/2019,79.84
60045,12/5/2019,28.94
60045,12/6/2019,17.33
60045,12/7/2019,64.21
60045,12/8/2019,1.87
60045,12/9/2019,0.6
60045,12/10/2019,35.91
60045,12/11/2019,154.74
60045,12/12/2019,100.34
60045,12/13/2019,4.71
60045,12/14/2019,276.59
60045,12/15/2019,1.67
60045,12/17/2019,8.99
60045,12/18/2019,7.56
60045,12/19/2019,1.44
60045,12/20/2019,0.86
60045,12/22/2019,17.86
60045,12/25/2019,1.05
60045,12/28/2019,10.12
60045,12/29/2019,113.08
60045,12/31/2019,72.76
66688,11/17/2019,1.37
66688,11/20/2019,0
66688,12/18/2019,177.12
66688,12/19/2019,91.68
66688,12/20/2019,496.16
66688,12/21/2019,256.81
66688,12/22/2019,81.7
113502,11/3/2019,20.53
113502,11/5/2019,3.85
113502,11/6/2019,19.68
113502,11/12/2019,17.41
113502,11/14/2019,22.39
113502,11/15/2019,16.73
113502,11/16/2019,212.62
113502,11/17/2019,16
113502,11/18/2019,71.23
113502,11/19/2019,23.1
113502,11/22/2019,6.72
113502,11/28/2019,47.75
113502,12/1/2019,21.47
113502,12/3/2019,34.93
113502,12/4/2019,11.24
113502,12/5/2019,15.42
113502,12/7/2019,18.91
113502,12/12/2019,0.96
113502,12/14/2019,23.38
113502,12/16/2019,4.82
113502,12/17/2019,34.28
113502,12/18/2019,5.48
113502,12/21/2019,1.94
113502,12/22/2019,31.41
113502,12/23/2019,14.74
113502,12/24/2019,83.27
113502,12/25/2019,11.85
113502,12/28/2019,39.09
113502,12/29/2019,17.94
113502,12/31/2019,23.77
145392,12/20/2019,0.71
145392,12/21/2019,0.49
145392,12/22/2019,0.01
145392,12/23/2019,0.34
145392,12/24/2019,2.16
145392,12/25/2019,0.81
150488,11/15/2019,0.39
150488,11/20/2019,0.59
150488,11/21/2019,0.39
150488,11/23/2019,0.78
150488,11/24/2019,0.68
150488,11/25/2019,0.49
150488,11/26/2019,98.22
150488,11/27/2019,0.2
150488,11/29/2019,0.2
150488,11/30/2019,0.78
150488,12/1/2019,0.49
150488,12/4/2019,0.59
150488,12/5/2019,0.78
150488,12/8/2019,0.39
150488,12/10/2019,0.39
150488,12/11/2019,0.39
150488,12/13/2019,0.39
150488,12/14/2019,0
150488,12/16/2019,0
150488,12/18/2019,0.49
150488,12/19/2019,0.68
